Log file open, 05/27/15 10:15:13
LogInit:Display: Running engine for game: TimeManipulation
LogInit: Version: 4.7.6-2513093+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr 15 2015 12:09:54
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line:  
LogInit: Base directory: C:/Program Files/Unreal Engine/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.05.27-00.15.13:974][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.05.27-00.15.14:024][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.05.27-00.15.14:054][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.05.27-00.15.14:063][  0]LogInit: Object subsystem initialized
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'TranslucentSortAxis = (X=0.000000,Y=-1.000000,Z=0.000000)'
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleRule = ShortestSide'
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=),ExternalCurve=None)'
[2015.05.27-00.15.14:065][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.05.27-00.15.14:071][  0]LogInit: Selected Device Profile: [Windows]
[2015.05.27-00.15.14:071][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.05.27-00.15.14:080][  0]LogInit: Computer: AIE-BLUE-23
[2015.05.27-00.15.14:080][  0]LogInit: User: shanecoates
[2015.05.27-00.15.14:080][  0]LogInit: CPU Page size=4096, Cores=4
[2015.05.27-00.15.14:080][  0]LogInit: High frequency timer resolution =3.323603 MHz
[2015.05.27-00.15.14:080][  0]LogMemory: Memory total: Physical=16.0GB (16GB approx) Virtual=8192.0GB
[2015.05.27-00.15.14:080][  0]LogMemory: Platform Memory Stats for Windows
[2015.05.27-00.15.14:080][  0]LogMemory: Process Physical Memory: 49.00 MB used, 49.00 MB peak
[2015.05.27-00.15.14:080][  0]LogMemory: Process Virtual Memory: 28.61 MB used, 28.61 MB peak
[2015.05.27-00.15.14:080][  0]LogMemory: Physical Memory: 9457.65 MB used, 16345.20 MB total
[2015.05.27-00.15.14:080][  0]LogMemory: Virtual Memory: 280.32 MB used, 8388608.00 MB total
[2015.05.27-00.15.14:137][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 660 Ti (Feature Level 11_0)
[2015.05.27-00.15.14:137][  0]LogD3D11RHI: Adapter has 1990MB of dedicated video memory, 0MB of dedicated system memory, and 2048MB of shared system memory, 2 output[s]
[2015.05.27-00.15.14:137][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.05.27-00.15.14:140][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.05.27-00.15.14:147][  0]LogD3D11RHI: Async texture creation enabled
[2015.05.27-00.15.14:363][  0]LogTextLocalizationManager: The requested culture ('en_AU') has no localization data; parent culture's ('en') localization data will be used.
[2015.05.27-00.15.14:426][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save_ToolTip):
Resource: (C:/Program Files/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-29098895) String: (Saves the current level to disk)
Resource: (C:/Program Files/Unreal Engine/4.7/Engine/Content/Localization/Engine/en/Engine.locres) Hash: (-1280300587) String: (Save selected data to vlog file)
[2015.05.27-00.15.14:426][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:ContentBrowser, Key:ImportAssetToolTip):
Resource: (C:/Program Files/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-630476809) String: (Import to {0}...)
Resource: (C:/Program Files/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (1271782899) String: (Imports an asset from file to this folder.)
[2015.05.27-00.15.14:501][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.05.27-00.15.17:018][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.27-00.15.17:526][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.27-00.15.17:583][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.05.27-00.15.17:622][  0]LogDerivedDataCache: Loaded boot cache 0.04s 39MB C:/Users/shane.coates/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.05.27-00.15.17:622][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/shane.coates/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.05.27-00.15.17:622][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.05.27-00.15.17:622][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.05.27-00.15.17:748][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.05.27-00.15.17:759][  0]LogDerivedDataCache: Using Local data cache path C:/Users/shane.coates/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.05.27-00.15.18:040][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.05.27-00.15.18:040][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.05.27-00.15.18:351][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.05.27-00.15.18:416][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.05.27-00.15.19:062][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.05.27-00.15.19:235][  0]SourceControl: Info Source control is disabled
[2015.05.27-00.15.19:235][  0]SourceControl: Info Source control is disabled
[2015.05.27-00.15.19:235][  0]SourceControl: Info Source control is disabled
[2015.05.27-00.15.19:235][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.05.27-00.15.19:235][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.05.27-00.15.19:242][  0]SourceControl: Info Source control is disabled
[2015.05.27-00.15.19:407][  0]LogObj: 24232 objects as part of root set at end of initial load.
[2015.05.27-00.15.19:407][  0]LogUObjectAllocator: 5137168 out of 0 bytes used by permanent object pool.
[2015.05.27-00.15.19:481][  0]LogEngine: Initializing Engine...
[2015.05.27-00.15.21:633][  0]LogInit: XAudio2 using 'Speakers (VIA High Definition Audio)' : 2 channels at 48 kHz using 32 bits per sample (channel mask 0x3)
[2015.05.27-00.15.21:654][  0]LogInit: FAudioDevice initialized.
[2015.05.27-00.15.21:686][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.05.27-00.15.21:705][  0]LogDerivedDataCache: Saved boot cache 0.02s 39MB C:/Users/shane.coates/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.05.27-00.15.21:709][  0]LogInit: Texture streaming: Enabled
[2015.05.27-00.15.21:788][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.05.27-00.15.21:788][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.6-2513093+++depot+UE4-Releases+4.7
[2015.05.27-00.15.21:788][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.6-2513093+++depot+UE4-Releases+4.7
[2015.05.27-00.15.21:788][  0]LogAnalytics: SetUserId bc5e5aba49991676d12923a27ea4acba|976fbc031d8742bf8144d62964902971|bc8f7565-2f4f-49b8-8ece-f87a2ee5a203
[2015.05.27-00.15.21:788][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.05.27-00.15.21:806][  0]LogInit: Transaction tracking system initialized
[2015.05.27-00.15.21:948][  0]BlueprintLog: New page: Editor Load
[2015.05.27-00.15.21:978][  0]LogAssetRegistry: FAssetRegistry took 0.0102 seconds to start up
[2015.05.27-00.15.21:978][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.05.27-00.15.22:430][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.27-00.15.22:730][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.05.27-00.15.22:942][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.05.27-00.15.22:942][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.05.27-00.15.22:953][  0]LogConsoleResponse:Display: 
[2015.05.27-00.15.23:068][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.05.27-00.15.23:187][  0]SourceControl: Info Source control is disabled
[2015.05.27-00.15.23:190][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.05.27-00.15.23:190][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.05.27-00.15.23:191][  0]LogFactory: FactoryCreateBinary: PackFactory with PackFactory (0 0 C:/Program Files/Unreal Engine/4.7/FeaturePacks/StarterContent.upack)
[2015.05.27-00.15.25:382][  0]LogPackFactory: Content/StarterContent/Architecture/Floor_400x400.uasset (48141) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/Floor_400x400.uasset
[2015.05.27-00.15.25:385][  0]LogPackFactory: Content/StarterContent/Architecture/Pillar_50x500.uasset (65452) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/Pillar_50x500.uasset
[2015.05.27-00.15.25:388][  0]LogPackFactory: Content/StarterContent/Architecture/SM_AssetPlatform.uasset (452977) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/SM_AssetPlatform.uasset
[2015.05.27-00.15.25:390][  0]LogPackFactory: Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset (441) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset
[2015.05.27-00.15.25:391][  0]LogPackFactory: Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset (439) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset
[2015.05.27-00.15.25:392][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x200.uasset (42169) -> ../../../../../../Users/shane.coates/Desktop/Heath2.0/TimeManipulationProject/TimeManipulation/Content/StarterContent/Architecture/Wall_400x200.uasset
